player,credit_card,buy_id,buy_name,buy_cost,buy_stock,date,discount,arenapack_id,chest_name,chest_rarity,chest_unlock_time,chest_num_cards,bundle_gold,bundle_gems,emote_name,emote_path
#9CRJ0YUVL,0626174661370517,169,Tobosagrass,262.12,25,2021-05-28,12.64,,,,,,,,Emote150,sfx/emotes/emotes_log_02_Angry_sfx1_dl.ogg
#9089JPLQ,0626301425810971,52,Redmahogany,210.53,4,2021-09-08,30.81,29,,,,,,,,
#99Q8CU,0626245005121350,40,Lesser Bladderwort,32.54,2,2020-12-19,48.74,45,,,,,,,,
#2PCRV0QPY,0626156363392816,26,Bacury,319.36,6,2021-03-03,20.55,49,,,,,,,,
#90R22UVY,0626922183227676,2,Chinese Banyan,288.01,26,2021-03-25,34.12,,,,,,,,Emote206,sfx/emotes/emotes_mortar_01_01_dl.ogg
#GJCC29PC,0626821872573129,87,Sierra Lessingia,32.49,25,2018-12-01,49.92,,,,,,96541,70,,
#9J00RUV,0626418434769301,39,Swamp Gentian,375.37,12,2021-09-13,12.11,51,,,,,,,,
#9YUUVJ08G,0626568136427689,46,Noble Fir,481.41,23,2019-02-10,92.3,,,,,,,,Emote194,sfx/emotes/emotes_icewizard_01_02_dl.ogg
#9UCCQ2Q9R,0626909151430622,127,Creeping Bedgrass,300.22,28,2019-12-03,76.18,,,,,,73357,344,,
#GLVCVLJP,0626949022097655,103,Umbrella-tree,277.48,26,2019-02-04,32.25,83,,,,,,,,
#9V20UYCRU,0626849915178432,150,Bitternut Hickory,377.19,25,2019-04-24,31.49,,,,,,63795,323,,
#299VP2C98,0626732541459097,60,Northern Singlespike Sedge,5.22,13,2021-05-19,1.06,6,,,,,,,,
#2QYUL0VCP,0626573623392776,174,Cup Lichen,197.34,6,2019-05-14,26.09,,Legendary Chest,Legendary,149,226,,,,
#98RRL0Y2,0626340488210182,87,Sierra Lessingia,32.49,25,2019-07-27,19.87,,,,,,96541,70,,
#820PRY28P,0626673332908704,162,Arizona Blue-eyed Grass,472.15,7,2021-10-18,3.01,,Epic Lightning Chest,Epic,123,164,,,,
#YC9GR0RGQ,0626941838121407,20,Hornwort,306.93,30,2021-01-14,16.32,,,,,,78320,505,,
#LURU9JU,0626120121384689,146,Spiked Saxifrage,321.28,22,2019-12-16,20.79,,,,,,,,Emote103,sfx/emotes/gobccage_emo_arm_01_dl.ogg
#2RUJ929U0,0626626490878812,96,Dimple Lichen,304.11,26,2021-08-07,66.61,,,,,,,,Emote162,sfx/emotes/emotes_feb2020_01_sfx2_dl.ogg
#GRY2909Q,0626340476394253,196,Scarlet Hawthorn,493.05,18,2019-08-08,44.89,,Rare Lightning Chest,Common,94,138,,,,
#QUV8C89,0626633320340344,168,Gaspé Willow,472.27,16,2019-02-19,60.25,,Silver Chest,Rare,219,182,,,,
#9QYRCPJP2,0626752141255984,74,Little Sand Verbena,374.84,29,2019-01-31,56.81,,Overflowing Gold Crate,Champion,182,99,,,,
#Y9JGY28U,0626621488958890,191,American Tarwort,286.81,22,2019-02-22,22.64,,King's Chest,Champion,163,238,,,,
#URL0222L,0626237071865911,139,Kaffir-lily,452.46,10,2021-05-01,66.74,54,,,,,,,,
#8V0222YG,0626410609918219,185,Sarah's Buckwheat,315.81,26,2021-08-21,45.19,,,,,,43034,49,,
#9YYCUUYRP,0626977736492946,170,Blackbutt,102.55,13,2021-10-16,79.97,,,,,,58433,108,,
#J9LRGUJ2,0626311079038597,51,Northern Marsh Yellowcress,355.77,26,2020-07-03,63.87,,,,,,,,Emote125,sfx/emotes/emotes_miner_01_02_dl.ogg
#9YYGL9GUQ,0626612972175760,174,Cup Lichen,197.34,6,2020-04-23,68.23,,Legendary Chest,Legendary,149,226,,,,
#89V2YVQQ9,0626884773444923,157,Addersmeat,275.94,8,2019-09-13,6.37,,,,,,87101,6,,
#2PY2228U9,0626101836100750,9,Mackenzie River Dwarf-primrose,6.92,14,2021-10-02,89.23,,,,,,8288,117,,
#PL8QL08,0626033275446669,134,Sendtner's Polyplastia Lichen,247.77,2,2020-09-30,91.88,,Royal Wild Chest,Champion,165,125,,,,
#JJPCVQU8,0626790036400216,60,Northern Singlespike Sedge,5.22,13,2021-02-25,7.57,6,,,,,,,,
#R90PRV0PY,0626885017286111,141,Dimple Lichen,495.7,14,2019-03-25,57.42,,,,,,82514,344,,
#90JYC28PR,0626751912274083,89,Starved Fleabane,35.92,26,2020-02-04,7.18,35,,,,,,,,
#8P9JYRLL,0626030302320032,81,Spotted Joe Pye Weed,349.84,12,2020-06-12,73.25,,,,,,,,Emote131,sfx/emotes/ElixirGolem_Emote_Morph_dl.ogg
#CYYVYRY,0626001046924579,159,Purple Sweetroot,398.46,2,2020-04-10,56.98,85,,,,,,,,
#8GL2CRGLR,0626180838686412,61,Mediterranean Medick,127.61,20,2021-04-08,43.01,,,,,,66160,535,,
#28GUPGY2,0626112691760117,144,Sonoran Globe Amaranth,418.25,15,2018-11-25,34.08,,,,,,,,EmoteChronos20,
#CCQCU90L,0626507148961244,23,Common Hawkweed,351.65,28,2019-09-20,28.06,,Fortune Chest,Common,226,171,,,,
#2VQ9PRQ9Y,0626592520606799,105,Sargent's Hawthorn,340.3,9,2021-05-30,75.81,17,,,,,,,,
#Q88YUVLG,0626104673489625,49,Waihanau Lobelia,110.92,30,2019-10-04,4.22,,,,,,78870,151,,
#RUC9GCUL,0626597482557385,128,Prairie Lily,4.43,1,2019-07-24,86.68,,Epic Chest,Epic,111,17,,,,
#22Y89Q0LU,0626804920669875,126,Arctic Cottongrass,174.46,29,2019-05-08,81.07,,Silver Chest,Rare,219,182,,,,
#8PY0RCUYG,0626158566046454,113,Rinodina Lichen,419.46,7,2020-05-19,55.73,70,,,,,,,,
#G82UQ9UP,0626270811933921,129,Jelly Lichen,424.0,28,2019-07-15,14.04,,,,,,,,EmoteChronos17,
#80J0P829U,0626547264429824,135,Manyflower Flatsedge,208.31,17,2020-10-03,67.15,32,,,,,,,,
#2VQQR20,0626325999032829,167,Cutleaf Checkerbloom,212.57,6,2021-03-18,27.61,,,,,,,,Emote136,sfx/emotes/emotes_halloween_01_04_dl.ogg
#P0JRRJLYV,0626231217405567,2,Chinese Banyan,288.01,26,2018-12-20,90.16,,,,,,,,Emote206,sfx/emotes/emotes_mortar_01_01_dl.ogg
#288CUPUPP,0626692480124005,160,Wart Lichen,100.85,5,2021-07-30,8.82,,,,,,,,EmoteChronos18,
#Q0L92PQ2,0626660571522569,162,Arizona Blue-eyed Grass,472.15,7,2020-10-14,14.94,,Epic Lightning Chest,Epic,123,164,,,,
#8RVQVVV2,0626883092497794,65,Alkali Phacelia,493.57,2,2019-09-08,33.56,83,,,,,,,,
#2L9RJL2Q,0626131359514145,151,Cork Oak,213.77,14,2020-09-23,28.04,,,,,,,,Emote77,sfx/emotes/emotes_xmas_01_01_dl.ogg
#2J2LVPY9L,0626603121727502,51,Northern Marsh Yellowcress,355.77,26,2019-03-23,51.32,,,,,,,,Emote125,sfx/emotes/emotes_miner_01_02_dl.ogg
#8P00CJGY,0626151858809135,165,Tephromela Lichen,216.53,30,2019-02-07,80.44,,,,,,49375,480,,
#2P2LVRG99,0626931333078319,160,Wart Lichen,100.85,5,2019-05-25,0.56,,,,,,,,EmoteChronos18,
#R0PCJLYV8,0626138764217297,18,Narrowleaf Silverbush,410.3,9,2019-08-20,9.25,,,,,,,,Emote78,sfx/emotes/emotes_xmas_01_02_dl.ogg
#2CQG98PP0,0626335366541278,54,Bourbon Rose,270.19,4,2018-12-24,0.89,,,,,,15103,440,,
#2LYPPG0Y2,0626507653225779,178,Slender Passionflower,67.4,21,2019-04-28,40.0,,,,,,,,Emote47,sfx/emotes/emotes_skeleton_01_04_dl.ogg
#2VC0RUVVR,0626247520934531,108,Pholisma,363.73,21,2019-10-09,78.11,,Tower Chest,Rare,216,106,,,,
#8YL988LL8,0626261863275089,44,Bajada Lupine,417.94,19,2021-08-04,97.07,,,,,,,,Emote52,sfx/emotes/emotes_ewiz_01_01_dl.ogg
#2PPJPULJ,0626736040971486,164,Moringa,440.2,19,2019-09-18,40.65,,,,,,78634,61,,
#98RRY80YR,0626190354495619,188,Slender Hawksbeard,423.66,16,2021-06-27,78.22,,,,,,,,Emote196,sfx/emotes/emotes_LNY_2021_01_01_dl.ogg
#2G8Q8RCQ8,0626167651396641,31,Sudetic Lousewort,146.35,7,2019-05-13,95.69,,Silver Chest,Rare,219,182,,,,
#2Y0QR8YCR,0626495093087324,164,Moringa,440.2,19,2020-03-19,97.83,,,,,,78634,61,,
#2VQ9PRQ9Y,0626592520606799,155,Centranthus,430.05,30,2020-12-24,31.33,7,,,,,,,,
#JPQPPUJ,0626821586386404,199,Fremont Cottonwood,412.68,4,2020-12-24,29.76,,Rare Lightning Chest,Common,94,138,,,,
#8CC9JYG2,0626179855846503,59,Fineleaf Fournerved Daisy,117.42,19,2019-01-11,10.39,,Common Lightning Chest,Common,183,249,,,,
#2LRU8YJ2P,0626367616739535,81,Spotted Joe Pye Weed,349.84,12,2020-02-24,86.34,,,,,,,,Emote131,sfx/emotes/ElixirGolem_Emote_Morph_dl.ogg
#2LR9YP02G,0626681535769617,90,Viburnum,110.33,26,2020-02-04,79.19,,,,,,,,Emote168,sfx/emotes/emotes_s12_pony_dl.ogg
#G0YYJGG,0626072114028536,14,Virginia Lecidea Lichen,397.62,4,2018-12-26,15.59,,,,,,79784,483,,
#L8JQ8JL2,0626171093237249,165,Tephromela Lichen,216.53,30,2020-11-11,83.73,,,,,,49375,480,,
#8YQ99CQVC,0626621950612546,4,Florida Hoarypea,224.39,9,2021-05-25,5.52,89,,,,,,,,
#9Q8UCU0Q0,0626480690377393,64,Tropical Signalgrass,88.12,30,2019-04-25,57.05,44,,,,,,,,
#2L2QGJQQ,0626582706920841,78,Melanelia Lichen,465.39,28,2019-01-18,23.66,,Legendary Chest,Legendary,149,226,,,,
#8YRYV80,0626017014116931,137,Spotted Calla Lily,415.63,15,2021-09-24,93.34,60,,,,,,,,
