tag,name,experience,trophies,cardnumber,cardexpiry
#QV2PYL,WoToP,104843,7606,0626966543536722,2013-9-12
#9Q8UCU0Q0,Raphou,75429,7540,0626480690377393,2011-10-12
#8C8QJR9JG,⚡NiklasIsGod⚡™,229074,7513,0626367029488480,2013-9-12
#V0QCQUCL,Raphou,157502,7509,0626997669324072,2011-10-12
#2Q9JG29RL,Sofiane JR,246124,7483,0626520186642592,2015-11-11
#UPRJQQ89,stan f,173440,7462,0626915670711152,2012-11-12
#2PPRU8QU0,sight,186212,7320,0626398470972235,2012-11-12
#LLJQJLPRJ,CMG guap,275923,7267,0626759612425160,2011-10-12
#GJ820UYPC,MrAlphqZ,23740,7228,0626597465623055,2015-11-11
#PCY2PV8LG,⭐️Zerkii⭐️,73221,7220,0626241876596671,2013-9-12
#22U2C2PP0,wayes❤️,108882,7200,0626373628257334,2011-10-12
#PCRRGRRCV,le pourfendeur,128172,7193,0626839086028557,2011-10-12
#22YQRCCV,Florem❄,94943,7177,0626901493917101,2013-9-12
#CJRGGCC8,JUNIOR,150402,7172,0626768186359796,2015-11-11
#22QUQG09C,ƘɾąƈƙȤ™,182846,7170,0626222959831433,2012-11-12
#LP098UL8L,✨LENUX✨™️,143261,7132,0626452984628856,2015-11-11
#9LR00P2G,Ad I Matth ✨,7977,7122,0626719473440302,2015-11-11
#PCYRRP8J2,Viníciusツ™,146346,7119,0626496966382404,2015-11-11
#90VLUCGVG,⚡Drak King⚡,117461,7066,0626116324434925,2013-9-12
#9LQJLL,晩まで | Hisoka ❤️,58483,7066,0626578619865560,2011-10-12
#2YQ98PLCJ,Thomas,121054,7088,0626929730224148,2012-11-12
#9J00RUV,mika,269194,7036,0626418434769301,2015-11-11
#CPQPPQ28,U DONT KNOW ME™,113473,7035,0626927363533173,2011-10-12
#2QYUL0VCP,❄️ɪᴄᴇꜱᴛᴏʀᴍ™丨酷捏,299109,7034,0626573623392776,2012-11-12
#UCYRJRL9,ローマ人 I Romainツ,96818,7029,0626744861254420,2013-9-12
#LR9R9RUR,● JuanPablo ●,297451,7022,0626257664273257,2015-11-11
#YCLJUU8G,"Steven's",141051,7013,0626264823443912,2012-11-12
#CG2VJYP,Ｃｈａｒｍｉ❤Ｓａｒａｈ,188345,6998,0626761946148096,2013-9-12
#P82PPQPV,bigbadjulesy,261295,6970,0626964188501218,2012-11-12
#9YUUVJ08G,Zapy,252003,6962,0626568136427689,2013-9-12
#928922QG0,さくぱん(●´ω｀●),99262,6946,0626468993861031,2013-9-12
#8GRCGCCQC,✨YanouN™✨,232751,6915,0626097079988226,2015-11-11
#2QRYYR8C,SIMON,340,6866,0626317675285151,2013-9-12
#Y08PCY8P2,夢の神 I Dream✨,26647,6857,0626527996944621,2012-11-12
#2YVQQPQJL,❥ᴍᴀʟᴀ❦ᴡᴀʏᴢシ,278616,6881,0626926579099342,2012-11-12
#GVJLCYC,LA✨Hugo CR v2,260782,6817,0626393429898581,2015-11-11
#P2RUVC9VR,♛Pringles♛,30586,6808,0626978026467838,2012-11-12
#2YCJRP9Q0,✨ㄊWEEDZㄡ✨,48977,6786,0626396958089241,2012-11-12
#YC288PYG,Moreau,298170,6774,0626171572664210,2012-11-12
#8PGU0R8JR,Ouahleouff❤️,60489,6769,0626588313408914,2013-9-12
#LP0LQQL,~TiM~,292914,6761,0626971805745797,2015-11-11
#28V9Q0,F✨ChetiFLGod✨,59322,6726,0626293182545298,2013-9-12
#228J02890,Zekel CR ⭐️,115470,6725,0626656601454088,2013-9-12
#90YPUVL2,Breng,298862,6663,0626459132367667,2011-10-12
#Y0P8RQ89,Crazy_Brind,276682,6634,0626551971631292,2011-10-12
#RC2UPGP8,"L'Alpha⚡️",99189,6622,0626136383180177,2011-10-12
#8C9CR9YG,RH❄️ I ⚡️Z,127399,6600,0626955154453590,2015-11-11
#Q0CPPQC9Q,エリサ I MariusV1,133035,6528,0626575599184517,2011-10-12
#2QCPVQC0Y,CHN丨Romain✨,59983,6413,0626500096470771,2015-11-11
#8QPCGVP2Y,☣™ R▪Õ▪L▪Í▪Ø ™☣,183160,6054,0626552986736886,2015-11-11
#P88PQJ2UV,<c2>⚡️Manuel⚡️,156884,7493,0626978018285339,2015-11-11
#2G9VQL8U8,EA Alex✨,111837,7446,0626311504646451,2011-10-12
#QJJP0R8L,Viper I Luis^.^,115309,7413,0626236764299065,2011-10-12
#2GJC9PR28,CHN丨Trex✨,58791,7351,0626714784641029,2015-11-11
#98LCG9LVP,✨CarlosĪsGod,278031,7319,0626751493659413,2011-10-12
#80992PGVV,《Oliver》,166550,7260,0626444949296846,2015-11-11
#29YPQLJG9,GerasRepXD,146257,7234,0626878856380301,2011-10-12
#PCRRR2VV,lionel messi 10,111471,7231,0626110121005921,2011-10-12
#22Y9CGYGQ,Dark Light,39474,7229,0626474341052901,2011-10-12
#8QRQ0JLRY,WA Omarbv⚡,7786,7196,0626486676639045,2013-9-12
#8PYGPYJPR,Rafa⭐簡単,272303,7175,0626427827639674,2015-11-11
#UGRV2UJG,Sir. Tød,159163,7167,0626963038137918,2012-11-12
#GPQ2UG2Q,Viper I ULISES❇,109897,7113,0626423730414776,2012-11-12
#JPCRVGLY,すずかもね？,92599,7092,0626876077251780,2012-11-12
#88C9PLVYL,Gravity,186783,7064,0626020964066064,2013-9-12
#89RQQV2U9,TITAN,142071,7039,0626459927908659,2011-10-12
#92YQYU0L2,nestrQS,26722,7000,0626136757526252,2013-9-12
#2QYC8YLLG,EA LF✨Patron,228398,6988,0626968830963635,2015-11-11
#2VLY2CLPY,Francis❤️スキル,97827,6917,0626693726406248,2012-11-12
#99P9VLCR2,S.BurrieL25❤,250303,6908,0626517571378279,2013-9-12
#LY8R8RY9,fernan,69313,6883,0626005133228737,2015-11-11
#8GR2GVLJ0,Jesús Urrutia,57186,6879,0626822218505841,2012-11-12
#P9P2GL8,❤Andres❤,294116,6852,0626864370470984,2011-10-12
#9PRP2URC,⭐IRVING⭐,162658,6848,0626127427405290,2012-11-12
#2LJ82YCVR,Jørge✨,30384,6848,0626899568992621,2013-9-12
#98UCCVRRJ,⚡️DAISUKE⚡️,79244,6769,0626811132567094,2012-11-12
#8J2PRR9Y,Yogui™,142489,6756,0626272197820599,2011-10-12
#92828YYCU,Ｃｒｉｓｔｉａｎメ神,79385,6744,0626379935705337,2013-9-12
#9QYRCPJP2,<WEROgod>,145044,6743,0626752141255984,2013-9-12
#90JYC28PR,manny,90072,6732,0626751912274083,2013-9-12
#880UQUUQC,⚡λʀτυʀɸ⚡,20553,6730,0626614893905085,2015-11-11
#2GQVLYV0U,KSG Facu™❤,250398,6715,0626644559606263,2011-10-12
#2CQV02CYR,<c5>꧁Dann Rv.꧂,196347,6714,0626925389854045,2015-11-11
#888P9C9UV,LEGENDARIO R,210928,6714,0626505279937850,2012-11-12
